Stasiun,Tanggal,Tn,Tx,Tavg,RR,Hari_hujan,Besok_hujan
Stasiun Klimatologi Bogor,21-01-2016,21.1,29.4,25.5,93,1,1
Stasiun Klimatologi Bogor,21-01-2016,211,294,255,93,1,1
Stasiun Klimatologi Bogor,10-02-2017,218,332,258,812,1,1
Stasiun Klimatologi Bogor,11-02-2017,233,318,261,74,1,1
Stasiun Klimatologi Bogor,08-02-2017,223,31,262,69,1,1
Stasiun Klimatologi Bogor,13-01-2016,222,247,236,59,1,1
Stasiun Klimatologi Bogor,13-01-2016,222,247,236,59,1,1
Stasiun Klimatologi Bogor,10-01-2017,224,284,251,486,0,0
Stasiun Klimatologi Bogor,15-01-2017,216,282,241,48,0,0
Stasiun Klimatologi Bogor,12-03-2017,228,306,26,452,1,1
Stasiun Klimatologi Bogor,04-03-2017,237,332,261,417,1,1
Stasiun Klimatologi Bogor,20-01-2016,217,292,253,408,1,1
Stasiun Klimatologi Bogor,17-02-2017,236,314,26,405,1,1
 Stasiun Klimatologi Bogor,16-03-2016,204,337,254,405,1,1
Stasiun Klimatologi Bogor,16-03-2016,204,337,254,405,1,1
Stasiun Klimatologi Bogor,19-02-2017,234,30,252,40,1,1
Stasiun Klimatologi Bogor,28-02-2016,226,284,255,375,1,1
Stasiun Klimatologi Bogor,15-01-2016,222,273,246,361,0,0
Stasiun Klimatologi Bogor,04-02-2016,216,257,239,357,0,0
Stasiun Klimatologi Bogor,10-02-2016,217,294,254,357,1,1
Stasiun Klimatologi Bogor,07-02-2016,216,276,244,345,0,0
Stasiun Klimatologi Bogor,09-02-2017,238,332,258,34,1,1
Stasiun Klimatologi Bogor,14-01-2016,219,268,238,33,0,0
Stasiun Klimatologi Bogor,08-03-2017,226,322,258,306,1,1
 Stasiun Klimatologi Bogor,23-03-2016,22,318,251,302,1,1
Stasiun Klimatologi Bogor,23-03-2016,22,318,251,302,1,1
 Stasiun Klimatologi Bogor,27-03-2016,203,328,244,269,0,0
